Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",World region according to OWID,time
Mali,MLI,1990,1615.9192,Africa,2023
Mali,MLI,1991,1770.215,Africa,2023
Mali,MLI,1992,1679.0481,Africa,2023
Mali,MLI,1993,1696.5719,Africa,2023
Mali,MLI,1994,1723.2076,Africa,2023
Mali,MLI,1995,1701.7998,Africa,2023
Mali,MLI,1996,1783.0275,Africa,2023
Mali,MLI,1997,1827.1327,Africa,2023
Mali,MLI,1998,1916.3242,Africa,2023
Mali,MLI,1999,1970.034,Africa,2023
Mali,MLI,2000,1912.309,Africa,2023
Mali,MLI,2001,2140.9927,Africa,2023
Mali,MLI,2002,2139.971,Africa,2023
Mali,MLI,2003,2262.0513,Africa,2023
Mali,MLI,2004,2224.144,Africa,2023
Mali,MLI,2005,2314.0151,Africa,2023
Mali,MLI,2006,2388.3481,Africa,2023
Mali,MLI,2007,2400.6528,Africa,2023
Mali,MLI,2008,2474.91,Africa,2023
Mali,MLI,2009,2506.5808,Africa,2023
Mali,MLI,2010,2594.4155,Africa,2023
Mali,MLI,2011,2612.8481,Africa,2023
Mali,MLI,2012,2523.177,Africa,2023
Mali,MLI,2013,2508.9214,Africa,2023
Mali,MLI,2014,2615.6704,Africa,2023
Mali,MLI,2015,2686.5598,Africa,2023
Mali,MLI,2016,2759.1096,Africa,2023
Mali,MLI,2017,2816.1934,Africa,2023
Mali,MLI,2018,2862.4062,Africa,2023
Mali,MLI,2019,2916.1707,Africa,2023
Mali,MLI,2020,2796.4104,Africa,2023
Mali,MLI,2021,2796.228,Africa,2023
Mali,MLI,2022,2808.5225,Africa,2023
Mali,MLI,2023,2854.8271,Africa,2023
Mali,MLI,2024,2910.8154,Africa,2023
