Entity,Code,Year,Population growth rate - Sex: all - Age: all - Variant: estimates,Population growth rate - Sex: all - Age: all - Variant: medium
Mali,MLI,1950,1.48,
Mali,MLI,1951,1.47,
Mali,MLI,1952,1.432,
Mali,MLI,1953,1.379,
Mali,MLI,1954,1.379,
Mali,MLI,1955,1.378,
Mali,MLI,1956,1.382,
Mali,MLI,1957,1.383,
Mali,MLI,1958,1.313,
Mali,MLI,1959,1.415,
Mali,MLI,1960,1.453,
Mali,MLI,1961,1.477,
Mali,MLI,1962,1.479,
Mali,MLI,1963,1.472,
Mali,MLI,1964,1.465,
Mali,MLI,1965,1.492,
Mali,MLI,1966,1.468,
Mali,MLI,1967,1.515,
Mali,MLI,1968,1.535,
Mali,MLI,1969,1.555,
Mali,MLI,1970,1.617,
Mali,MLI,1971,1.591,
Mali,MLI,1972,1.698,
Mali,MLI,1973,1.768,
Mali,MLI,1974,1.787,
Mali,MLI,1975,1.809,
Mali,MLI,1976,1.778,
Mali,MLI,1977,1.921,
Mali,MLI,1978,1.952,
Mali,MLI,1979,2.035,
Mali,MLI,1980,2.13,
Mali,MLI,1981,2.133,
Mali,MLI,1982,2.173,
Mali,MLI,1983,2.211,
Mali,MLI,1984,2.08,
Mali,MLI,1985,1.927,
Mali,MLI,1986,1.78,
Mali,MLI,1987,1.704,
Mali,MLI,1988,1.786,
Mali,MLI,1989,1.935,
Mali,MLI,1990,2.001,
Mali,MLI,1991,1.97,
Mali,MLI,1992,2.06,
Mali,MLI,1993,2.108,
Mali,MLI,1994,2.196,
Mali,MLI,1995,2.139,
Mali,MLI,1996,2.171,
Mali,MLI,1997,2.371,
Mali,MLI,1998,2.69,
Mali,MLI,1999,2.868,
Mali,MLI,2000,2.957,
Mali,MLI,2001,3.056,
Mali,MLI,2002,3.156,
Mali,MLI,2003,3.201,
Mali,MLI,2004,3.274,
Mali,MLI,2005,3.277,
Mali,MLI,2006,3.284,
Mali,MLI,2007,3.292,
Mali,MLI,2008,3.281,
Mali,MLI,2009,3.235,
Mali,MLI,2010,3.261,
Mali,MLI,2011,3.205,
Mali,MLI,2012,2.644,
Mali,MLI,2013,3.19,
Mali,MLI,2014,3.132,
Mali,MLI,2015,3.126,
Mali,MLI,2016,3.207,
Mali,MLI,2017,3.17,
Mali,MLI,2018,3.082,
Mali,MLI,2019,2.956,
Mali,MLI,2020,3.077,
Mali,MLI,2021,3.044,
Mali,MLI,2022,2.976,
Mali,MLI,2023,2.972,
Mali,MLI,2024,,2.911
Mali,MLI,2025,,2.889
Mali,MLI,2026,,2.85
Mali,MLI,2027,,2.829
Mali,MLI,2028,,2.799
Mali,MLI,2029,,2.771
Mali,MLI,2030,,2.734
Mali,MLI,2031,,2.719
Mali,MLI,2032,,2.673
Mali,MLI,2033,,2.638
Mali,MLI,2034,,2.597
Mali,MLI,2035,,2.552
Mali,MLI,2036,,2.514
Mali,MLI,2037,,2.461
Mali,MLI,2038,,2.43
Mali,MLI,2039,,2.355
Mali,MLI,2040,,2.319
Mali,MLI,2041,,2.264
Mali,MLI,2042,,2.232
Mali,MLI,2043,,2.189
Mali,MLI,2044,,2.142
Mali,MLI,2045,,2.098
Mali,MLI,2046,,2.055
Mali,MLI,2047,,2.007
Mali,MLI,2048,,1.973
Mali,MLI,2049,,1.926
Mali,MLI,2050,,1.899
Mali,MLI,2051,,1.858
Mali,MLI,2052,,1.824
Mali,MLI,2053,,1.782
Mali,MLI,2054,,1.741
Mali,MLI,2055,,1.715
Mali,MLI,2056,,1.676
Mali,MLI,2057,,1.646
Mali,MLI,2058,,1.609
Mali,MLI,2059,,1.575
Mali,MLI,2060,,1.548
Mali,MLI,2061,,1.511
Mali,MLI,2062,,1.478
Mali,MLI,2063,,1.445
Mali,MLI,2064,,1.413
Mali,MLI,2065,,1.374
Mali,MLI,2066,,1.353
Mali,MLI,2067,,1.325
Mali,MLI,2068,,1.296
Mali,MLI,2069,,1.258
Mali,MLI,2070,,1.225
Mali,MLI,2071,,1.203
Mali,MLI,2072,,1.161
Mali,MLI,2073,,1.13
Mali,MLI,2074,,1.096
Mali,MLI,2075,,1.059
Mali,MLI,2076,,1.029
Mali,MLI,2077,,1.002
Mali,MLI,2078,,0.972
Mali,MLI,2079,,0.942
Mali,MLI,2080,,0.903
Mali,MLI,2081,,0.886
Mali,MLI,2082,,0.848
Mali,MLI,2083,,0.825
Mali,MLI,2084,,0.79
Mali,MLI,2085,,0.758
Mali,MLI,2086,,0.728
Mali,MLI,2087,,0.706
Mali,MLI,2088,,0.676
Mali,MLI,2089,,0.648
Mali,MLI,2090,,0.619
Mali,MLI,2091,,0.588
Mali,MLI,2092,,0.559
Mali,MLI,2093,,0.54
Mali,MLI,2094,,0.523
Mali,MLI,2095,,0.489
Mali,MLI,2096,,0.463
Mali,MLI,2097,,0.44
Mali,MLI,2098,,0.424
Mali,MLI,2099,,0.399
Mali,MLI,2100,,0.383
